flow_duration,total_fwd_packets,total_bwd_packets,packet_length_mean,packet_length_std,protocol,destination_port,flow_bytes_per_sec,flow_packets_per_sec,connection_count,label
178.129928,195,60,1014.79,113.32,17,80,43943.64,79.95,8,BENIGN
74.340374,68,63,294.33,73.46,6,53,34039.02,62.24,6,BENIGN
57.57724,142,239,1444.45,98.44,17,587,6530.61,34.18,7,BENIGN
49.067209,365,262,1258.94,106.42,6,993,49061.19,63.55,2,BENIGN
190.567705,353,167,248.45,63.84,6,143,48153.3,34.85,15,BENIGN
279.676404,486,282,1409.86,140.7,6,993,8402.24,77.33,17,BENIGN
34.972011,21953,81,1315.53,488.07,1,8443,6510979.07,30125.4,56,DoS
8.342324,442280,5,597.95,673.15,6,8080,22572183.97,58357.2,1508,DDoS
4.721574,3,4,91.25,10.54,6,17483,1111.64,5.04,3655,PortScan
196.698853,36,199,1429.44,38.7,6,53,45485.27,85.88,6,BENIGN
228.268129,462,261,524.59,147.64,17,8080,1653.59,65.52,12,BENIGN
33.808742,24019,79,844.08,121.66,6,80,7788308.84,38775.17,223,DoS
159.575964,208,185,1373.4,193.83,6,143,161.47,60.23,12,BENIGN
30.081025,275856,37,387.88,212.58,6,80,13815173.52,160524.02,594,DDoS
295.321071,218,76,731.16,139.29,6,853,14653.96,69.8,1,BENIGN
285.841943,434,271,754.01,29.94,6,143,28588.13,2.82,1,BENIGN
168.334956,425,246,532.8,108.37,6,80,41243.25,36.42,7,BENIGN
0.664446,7,1,81.37,16.01,6,9079,3355.22,47.63,816,PortScan
84.923849,400141,8,1408.4,136.38,6,443,46792489.86,189733.34,1541,DDoS
235.243395,120,255,759.6,135.56,6,853,40883.16,45.78,3,BENIGN
13.185478,197,18,181.22,21.47,6,143,43602.0,22.7,14,BENIGN
101.731842,401,225,1198.01,135.15,6,443,1140.97,65.67,5,BENIGN
298.903841,370,63,997.87,47.91,6,853,1629.56,26.51,12,BENIGN
10.534181,60321,60,1279.21,332.94,6,443,9877730.68,2965.35,226,DoS
154.684764,114,254,1105.47,102.47,17,443,39668.51,65.85,19,BENIGN
178.112748,255,129,366.51,128.36,6,80,6665.23,71.87,16,BENIGN
365.094676,3469,989,249.14,28.07,6,22,17160.51,100.99,417,BruteForce
30.120624,390,115,915.43,120.09,6,25,8259.84,39.72,2,BENIGN
257.53789,270,168,1456.66,96.22,6,8080,22157.02,33.76,10,BENIGN
201.14773,370,261,709.39,121.7,17,143,8435.39,17.59,11,BENIGN
368.227367,6117,2213,7040.48,705.39,132,620,539905.89,341.89,334,ANOMALY
18.06897,302,24,138.24,131.6,6,53,46700.36,32.3,17,BENIGN
35.121775,26611,19,1480.8,484.3,6,443,3298993.5,48681.79,88,DoS
136.967217,436,182,556.05,111.13,6,8443,35263.57,20.98,8,BENIGN
291.003702,138,268,288.25,54.57,17,443,33115.45,97.88,11,BENIGN
205.29116,123,149,1257.14,174.28,17,993,46554.34,69.26,1,BENIGN
180.582253,296,146,629.59,133.73,6,995,8048.44,60.89,9,BENIGN
260.065162,98,180,1144.49,27.19,6,993,43937.93,41.01,14,BENIGN
277.776774,28,86,1324.65,70.27,17,80,6098.43,54.9,15,BENIGN
189.432416,208,147,1062.69,83.83,6,80,27329.78,45.0,6,BENIGN
22.885581,364,114,986.74,154.28,6,53,43180.35,52.39,6,BENIGN
54.862767,65732,25,220.41,117.05,6,8443,4819285.2,20323.9,392,DoS
244.082736,373,25,345.14,11.44,6,995,47737.54,65.81,19,BENIGN
0.302277,5,4,61.1,2.03,6,7152,2620.19,33.83,2192,PortScan
48.201251,32010,7,511.04,324.65,6,80,9769579.86,41335.53,399,DoS
55.163656,360,112,324.55,109.78,17,110,39691.02,19.34,4,BENIGN
260.471181,4057,1848,426.3,21.81,6,22,12846.45,190.52,986,BruteForce
38.315314,35068,85,916.32,407.18,6,443,3671647.94,45388.66,201,DoS
42.733855,237601,26,1184.83,292.36,17,8443,33735521.14,162858.35,1114,DDoS
187.533938,490,246,283.68,54.69,17,80,10915.32,10.48,16,BENIGN
94.369264,428,164,980.11,58.81,6,143,24888.67,98.79,3,BENIGN
2.985638,2,2,66.56,8.92,6,55755,4956.37,7.29,4102,PortScan
181.362604,111,46,1364.33,156.8,6,53,44720.12,19.99,8,BENIGN
110.719868,79,200,699.3,168.05,6,995,11762.23,54.46,6,BENIGN
2.964467,3,3,59.46,6.66,6,60119,1898.6,18.78,4374,PortScan
219.464503,295,120,150.36,116.84,17,143,8606.85,41.54,16,BENIGN
1.369767,409,140,1206.27,186.16,6,995,48710.81,2.98,8,BENIGN
230.811342,330,125,1028.36,27.66,6,110,37787.99,13.64,16,BENIGN
30.459622,10715,97,154.62,102.94,6,80,3665350.43,5294.49,298,DoS
276.94574,5963,4931,3584.89,447.2,132,311,161764.3,7862.76,143,ANOMALY
297.655246,110,248,363.42,186.81,6,443,31434.71,67.76,10,BENIGN
434.041539,8326,3139,7114.47,304.68,6,399,402980.24,1735.25,130,ANOMALY
67.860716,215,280,886.89,187.22,6,853,15755.01,61.03,1,BENIGN
72.947226,173757,45,315.07,451.8,6,80,33482190.85,28743.57,1116,DDoS
8.71776,34,83,1447.03,114.41,17,995,15659.63,51.11,18,BENIGN
16.737382,36262,5,64.48,57.96,6,8080,3925962.33,28657.61,467,DoS
138.480327,139,271,1147.11,127.7,6,25,12035.09,15.08,9,BENIGN
235.026116,380,267,1057.94,21.84,6,25,11521.84,24.03,4,BENIGN
31.669784,58009,62,1201.45,232.16,6,8080,3740817.57,21292.36,63,DoS
53.889256,95,137,79.84,89.07,6,853,39537.85,58.63,7,BENIGN
74.464309,65428,20,1262.06,540.51,6,80,47999043.89,100131.54,1194,DDoS
80.48949,404,195,781.04,60.54,6,8443,43246.55,25.1,18,BENIGN
143.329421,242,225,630.47,97.29,17,80,47771.2,78.9,9,BENIGN
4.714213,2,3,44.59,5.59,17,28672,4509.79,23.61,1214,PortScan
149.140179,273,218,978.26,126.65,6,110,44134.73,11.46,12,BENIGN
154.154354,110,12,123.84,26.11,17,8080,3655.71,2.2,5,BENIGN
310.061781,4427,1899,284.78,49.62,6,22,15605.74,133.97,639,BruteForce
107.097567,451,265,853.25,167.8,6,587,1145.15,9.13,17,BENIGN
17.797142,36144,65,1022.32,54.69,6,8443,7768874.43,32551.31,427,DoS
143.998333,264,270,1210.95,65.64,17,853,24352.17,92.11,16,BENIGN
488.944175,622,571,235.31,46.76,6,22,7757.26,89.25,223,BruteForce
117.207187,123,282,457.16,186.38,6,8080,44357.55,64.94,3,BENIGN
201.765026,231,123,1326.63,59.1,6,53,37776.59,46.59,8,BENIGN
3.741211,7,3,43.23,6.4,6,58713,4687.57,3.12,4037,PortScan
33.275171,222,287,1449.93,102.79,6,995,36666.8,54.68,1,BENIGN
61.249085,276038,18,281.65,165.63,6,80,38175516.08,36213.97,561,DDoS
279.065358,6273,1285,7935.43,277.9,1,874,657560.35,3109.3,405,ANOMALY
220.188318,240,223,334.0,77.52,17,8443,26255.54,84.96,12,BENIGN
223.974401,23,125,1439.79,79.91,6,8080,42114.32,47.56,19,BENIGN
298.903967,141,115,708.2,147.19,17,8080,6977.36,66.64,8,BENIGN
54.333403,211,42,303.65,44.45,6,80,29451.29,48.62,14,BENIGN
361.730042,4432,2948,494.18,486.6,17,159,22932.91,3221.09,319,ANOMALY
24.040425,415,156,543.97,159.13,17,8443,25911.73,44.58,4,BENIGN
37.59065,122,187,402.69,80.57,6,995,36809.59,99.84,13,BENIGN
86.822689,1284,660,7075.15,118.34,132,75,739986.41,9503.13,325,ANOMALY
56.1584,70,142,544.36,14.98,6,853,13726.23,52.29,13,BENIGN
94.018542,459546,41,1288.52,257.88,6,8443,9712020.18,161515.45,1297,DDoS
281.268635,365,74,970.36,19.47,17,8080,21898.85,73.22,6,BENIGN
18.126795,183,192,636.73,185.3,6,53,3541.01,6.65,7,BENIGN
123.564702,3292,270,2260.92,271.95,17,205,268139.09,1563.83,228,ANOMALY
11.050466,93,254,871.02,75.72,6,993,17432.43,90.08,18,BENIGN
88.027623,446546,19,247.79,717.49,6,443,21230269.29,55730.77,1536,DDoS
2.472911,5,1,48.7,14.5,6,26929,2325.02,48.63,4979,PortScan
58.044635,7588,40,95.64,374.0,6,80,8521098.97,28499.92,130,DoS
490.260359,573,2091,627.66,707.84,6,966,226147.13,8469.19,330,ANOMALY
10.029895,84457,21,1284.56,351.06,6,8080,6544637.32,27726.16,393,DoS
236.30407,303,63,723.47,19.87,17,25,43619.57,54.94,4,BENIGN
227.2687,223,147,358.21,176.79,17,995,12849.12,94.72,8,BENIGN
492.496329,7194,4977,263.96,65.2,1,5189,538701.84,4978.13,262,ANOMALY
112.207868,288,93,634.64,27.75,6,993,10267.95,52.81,9,BENIGN
173.700416,94,76,1209.8,85.23,17,110,26057.51,45.31,6,BENIGN
396.651349,2823,4944,7717.47,906.14,17,40,507051.15,5981.13,8,ANOMALY
447.005456,688,3691,2832.19,798.59,1,544,117644.08,7397.31,375,ANOMALY
290.170858,72,113,1477.18,136.9,6,8443,49854.2,98.0,5,BENIGN
168.366949,362,200,1096.99,179.15,6,53,48675.52,34.35,9,BENIGN
4.095499,2,2,85.57,19.76,17,46444,2301.73,18.53,1654,PortScan
4.39923,5,3,89.56,2.01,6,18100,4527.75,37.24,4933,PortScan
224.899075,450,283,955.65,76.95,17,993,42202.49,26.14,1,BENIGN
84.496198,1189,532,374.53,8.13,6,21,17186.88,49.3,858,BruteForce
139.710117,9795,442,4623.64,305.31,136,227,763155.31,4083.07,142,ANOMALY
54.22611,24952,38,1223.42,76.59,1,8080,9081230.8,33865.88,456,DoS
84.623627,1378,2598,2056.04,381.61,1,596,18000.19,4214.45,270,ANOMALY
275.504889,224,154,1296.58,65.52,17,587,34995.84,84.11,13,BENIGN
288.880297,72,77,501.62,167.58,6,8443,5717.76,70.66,4,BENIGN
5.882415,50437,8,81.81,260.95,6,8080,834984.64,12091.22,383,DoS
44.617273,72363,67,1323.72,444.77,6,443,8933794.73,10081.18,232,DoS
63.992324,79813,48,473.68,400.43,6,443,42856956.64,106681.91,1548,DDoS
76.439868,366,176,229.04,27.83,17,8443,43440.72,7.4,1,BENIGN
24.833755,442,1504,132.88,45.98,6,21,15590.65,122.38,125,BruteForce
50.282578,415,236,1425.48,94.6,17,8080,11947.93,51.72,4,BENIGN
115.968887,438,71,1000.59,190.6,6,25,49193.63,27.63,6,BENIGN
22.208733,162,214,583.62,99.77,6,110,12018.95,47.49,13,BENIGN
145.130276,433,146,941.08,63.33,6,853,42721.39,5.9,8,BENIGN
11.979687,389,94,728.66,93.32,6,587,14745.09,93.24,9,BENIGN
408.35942,4913,4649,7367.5,531.6,1,183,874222.54,4935.47,267,ANOMALY
2.786729,22386,76,1398.66,124.34,6,8080,4169108.65,45472.94,158,DoS
368.664076,3411,1374,387.37,47.93,6,22,530.52,129.1,442,BruteForce
215.554065,440,219,122.24,175.6,6,8443,19253.56,46.17,18,BENIGN
46.233168,1775,2460,4955.26,900.32,132,655,749850.79,4126.76,285,ANOMALY
203.922317,459,270,785.09,36.39,6,25,43697.56,72.67,2,BENIGN
159.467465,396,262,80.81,90.19,6,80,4311.18,40.54,5,BENIGN
37.777985,58,131,556.79,148.54,6,995,19430.89,85.33,4,BENIGN
202.21702,384,77,503.87,159.91,6,443,19273.56,45.56,12,BENIGN
55.006451,69670,22,521.89,311.99,6,80,371461.07,20255.74,457,DoS
230.986203,3080,56,157.04,45.05,6,22,18959.57,71.25,301,BruteForce
194.100893,485,130,919.84,29.24,17,110,18293.23,22.57,12,BENIGN
168.346845,40,117,265.83,102.26,6,993,26642.44,14.44,14,BENIGN
10.255781,457,238,631.84,69.51,6,53,14533.31,90.11,5,BENIGN
57.359538,9036,34,1339.75,321.32,1,80,973196.87,30736.99,175,DoS
23.429966,60500,95,552.8,293.63,6,80,5369349.56,9248.51,358,DoS
250.261339,444,46,1251.31,144.71,6,53,17188.15,27.75,12,BENIGN
249.375865,333,96,901.17,199.95,6,443,24496.0,40.78,17,BENIGN
44.101218,58169,85,881.63,329.3,6,80,1565043.06,42775.33,150,DoS
65.391438,385562,26,1369.98,605.5,6,8443,2380087.38,150442.71,1710,DDoS
83.64428,1076,1257,210.31,44.47,6,22,19407.35,190.08,765,BruteForce
294.315226,245,74,909.42,81.31,6,80,28179.31,44.68,11,BENIGN
55.132209,37593,80,1306.97,491.33,6,8080,6060958.16,29978.93,440,DoS
574.067815,3219,560,143.71,43.43,6,22,12983.87,63.19,939,BruteForce
3.84121,49933,66,707.79,279.69,6,443,4820750.34,34698.38,220,DoS
52.335695,20337,41,972.33,340.01,1,80,2859722.74,11324.54,106,DoS
47.624301,28810,18,352.13,497.59,6,443,241721.25,37155.61,74,DoS
190.238993,408,41,72.14,188.05,17,143,38329.19,84.75,2,BENIGN
0.522916,7,0,83.39,5.61,6,34783,339.39,18.09,1409,PortScan
242.662328,182,294,72.74,29.18,17,443,3935.42,50.56,10,BENIGN
73.427134,367,192,272.5,144.92,6,995,43183.7,40.73,14,BENIGN
76.249562,5687,1051,217.8,583.26,6,913,640476.08,9789.81,21,ANOMALY
65.173794,284,285,240.51,178.85,6,587,29334.65,62.85,18,BENIGN
73.337572,421,57,1218.48,114.98,6,993,38789.77,27.87,14,BENIGN
264.715659,257,131,142.02,152.24,6,80,25605.34,5.64,6,BENIGN
268.822291,97,268,69.49,56.9,17,995,5184.43,36.66,19,BENIGN
68.015631,404009,43,885.12,735.04,17,8080,45542185.62,78577.02,890,DDoS
27.697568,195,222,874.81,186.73,17,25,317.73,17.53,11,BENIGN
403.167394,1028,1609,404.42,47.78,6,22,6312.02,25.55,822,BruteForce
193.600617,307,105,779.95,83.17,17,8080,22939.21,21.68,14,BENIGN
231.463405,370,17,662.1,166.21,17,143,32901.94,47.76,1,BENIGN
239.075938,352,177,115.61,85.0,17,8443,36956.01,32.25,12,BENIGN
6.737736,284067,39,736.27,505.42,6,8080,18705406.39,16327.93,317,DDoS
234.822585,62,48,207.41,140.73,6,853,16933.54,2.91,4,BENIGN
113.887092,218666,24,1121.18,331.17,17,8443,991229.15,95498.56,939,DDoS
13.455389,355,234,1158.68,96.43,6,80,26112.67,97.63,10,BENIGN
231.277305,231,237,236.62,60.46,6,53,17156.0,74.16,7,BENIGN
42.097423,156165,11,65.94,309.86,6,8080,44023128.18,136738.12,359,DDoS
269.669621,234,221,482.08,49.35,6,110,3378.17,23.6,2,BENIGN
72.593371,57428,14,149.75,570.15,6,8443,47164853.8,158111.96,807,DDoS
195.636243,340,147,870.02,157.62,6,587,9872.07,14.94,10,BENIGN
18.977308,98618,10,1473.65,287.27,1,8443,6463907.26,40683.15,224,DoS
110.139558,431199,46,151.06,583.0,6,443,888158.74,128029.75,658,DDoS
5.825377,498216,49,497.55,632.76,6,443,34141206.47,19866.65,1517,DDoS
278.669426,455,214,849.29,44.26,6,8080,8370.91,45.11,12,BENIGN
269.404727,117,165,260.73,199.05,6,995,32989.78,11.78,4,BENIGN
4.757198,8,2,98.87,11.39,6,63065,4597.74,9.63,1369,PortScan
37.378362,31873,5,336.99,406.67,1,443,7013280.46,20365.09,385,DoS
293.215064,256,12,296.16,100.61,17,80,22965.91,78.35,18,BENIGN
231.716446,95,48,81.38,11.72,6,995,11510.97,63.8,10,BENIGN
97.179327,331,59,1110.65,28.13,6,143,20197.94,89.57,13,BENIGN
7.198307,24816,53,635.29,463.79,1,80,7633978.44,19214.48,453,DoS
377.15706,7779,3697,4010.4,275.55,6,274,992442.29,3863.24,181,ANOMALY
21.57885,64811,64,409.21,136.22,1,8443,372439.93,42150.99,90,DoS
12.640059,387,197,315.62,174.69,6,8443,29122.95,44.22,19,BENIGN
2.138082,3,2,48.63,8.6,17,39066,4463.87,21.55,2679,PortScan
247.125088,93,246,357.92,122.31,6,8080,29730.74,4.25,14,BENIGN
22.276327,333,275,1326.96,97.4,6,993,41807.71,33.89,2,BENIGN
466.604671,2683,1077,160.64,44.41,6,22,6008.21,87.92,680,BruteForce
1.959728,5,0,40.0,8.33,6,34149,3618.41,10.83,3656,PortScan
91.878811,12,183,138.53,46.31,6,8080,33186.05,74.45,5,BENIGN
91.208738,56001,49,1350.71,672.62,6,8080,9489891.4,77333.5,1602,DDoS
299.863632,237,43,380.62,154.87,6,110,33084.61,8.77,10,BENIGN
213.086928,452,166,1184.99,120.92,17,587,24145.19,36.81,16,BENIGN
89.671414,162,127,1153.93,29.48,6,143,8687.25,97.27,2,BENIGN
209.465605,105,202,1386.55,141.97,17,143,13776.17,80.9,9,BENIGN
104.257244,271,249,1293.99,143.22,17,25,27510.56,31.89,15,BENIGN
152.495122,361,132,1365.84,13.05,17,8080,669.76,70.67,14,BENIGN
253.140149,256,220,1076.19,165.25,6,80,27082.65,43.53,5,BENIGN
359.255128,390,1000,1629.72,800.0,1,659,396553.74,1317.16,458,ANOMALY
97.150403,126950,3,961.54,321.58,17,80,39935729.16,53841.24,574,DDoS
171.952049,281,87,965.8,57.03,6,80,27488.05,29.48,11,BENIGN
58.236876,149,101,682.26,176.82,6,110,39209.62,29.29,16,BENIGN
166.797951,4822,1474,1864.5,381.44,6,34398,671479.18,6322.83,14,ANOMALY
470.787577,227,1895,340.44,49.57,6,21,18854.81,183.37,491,BruteForce
